"Sub.Num"	"name"	"name F"	"name F_n"	"name F_sd"	"name NF"	"name NF_n"	"name NF_sd"	"name_n"	"name_sd"	"onomatopoeic F"	"onomatopoeic F_n"	"onomatopoeic F_sd"	"vocalization F"	"vocalization F_n"	"vocalization F_sd"	"vocalization NF"	"vocalization NF_n"	"vocalization NF_sd"
"6612"	900	NA	NA	NA	NA	NA	NA	1	NA	1667	1	NA	875	4	445.973840787402	866.5	4	555.004204188281
"7383"	NA	666.75	8	417.182642427579	500	2	282.842712474619	NA	NA	488.666666666667	3	96.4174949546675	605.333333333333	6	292.296196804999	1216.5	2	542.350901170082
"7409"	NA	700.25	4	115.566359003532	750	2	212.132034355964	NA	NA	1150	2	212.132034355964	766.666666666667	3	233.5001784439	500	3	240.601330004637
"7435"	NA	1100.25	4	468.923145799679	767	1	NA	NA	NA	866.666666666667	3	493.288286231625	850	4	220.134807182629	583.5	2	306.177236253775
"7462"	511	533	1	NA	1055.66666666667	3	170.869345797698	3	134.357731448547	866.5	2	895.904291763356	1078	3	547.871335260388	875	4	213.446324244137
"7471"	483.5	233	1	NA	533	1	NA	2	164.755880016466	433.5	2	47.3761543394987	641.75	4	260.188873705237	1100	4	143.965273590543
"7505"	589	1044.33333333333	3	138.911242645559	666.666666666667	3	328.058429755026	3	101.79882121125	1083.5	2	1013.28401744032	516.5	2	164.755880016466	916.5	2	683.772257407391
"7508"	NA	544.333333333333	3	76.7875858022202	583.5	2	118.086832458153	NA	NA	800	1	NA	966.333333333333	3	472.581562625261	883.25	4	582.9650504104
"7549"	333	NA	NA	NA	NA	NA	NA	1	NA	833	1	NA	1633.5	2	188.797510576808	700	1	NA
"7573"	500	567	1	NA	467	1	NA	2	141.42135623731	640	5	301.063116306199	874.111111111111	9	314.724659204059	633	1	NA
"7633"	1033	333.5	2	188.797510576808	NA	NA	NA	1	NA	400	1	NA	700	3	145.564418729303	950	2	353.553390593274
"7669"	367	NA	NA	NA	1716.5	2	118.086832458153	1	NA	766.5	4	256.832630325666	933	1	NA	1000	1	NA
"7693"	567	1033	1	NA	NA	NA	NA	1	NA	500.333333333333	3	152.752523165195	1177.66666666667	3	531.963657906565	683.5	2	118.086832458153
"7713"	933	867	1	NA	NA	NA	NA	1	NA	766.666666666667	3	208.166599946613	750	2	117.379725676967	1567	1	NA
"7732"	500	NA	NA	NA	977.666666666667	3	587.363884941297	1	NA	616.5	2	23.3345237791561	1100	1	NA	1450	2	353.553390593274
"7751"	533	300	1	NA	583	2	494.974746830583	1	NA	NA	NA	NA	1133.5	2	47.3761543394987	933.5	2	613.061579288737
"7771"	366.666666666667	716.5	2	118.086832458153	1333	1	NA	3	233.071519781661	889	3	539.038959630934	858.25	4	425.713029320613	600	2	424.264068711929
"7816"	700	NA	NA	NA	NA	NA	NA	1	NA	1200	2	848.528137423857	883.25	4	515.223818678187	NA	NA	NA
"8081"	NA	NA	NA	NA	NA	NA	NA	NA	NA	567	2	282.842712474619	867	1	NA	1000	1	NA
