"Sub.Num"	"name"	"name_n"	"name_sd"	"vocalization"	"vocalization_n"	"vocalization_sd"
"6612"	NA	NA	NA	866.5	4	555.004204188281
"7383"	500	2	282.842712474619	1216.5	2	542.350901170082
"7409"	750	2	212.132034355964	500	3	240.601330004637
"7435"	767	1	NA	583.5	2	306.177236253775
"7462"	1055.66666666667	3	170.869345797698	875	4	213.446324244137
"7471"	533	1	NA	1100	4	143.965273590543
"7505"	666.666666666667	3	328.058429755026	916.5	2	683.772257407391
"7508"	583.5	2	118.086832458153	883.25	4	582.9650504104
"7549"	NA	NA	NA	700	1	NA
"7573"	467	1	NA	633	1	NA
"7633"	NA	NA	NA	950	2	353.553390593274
"7669"	1716.5	2	118.086832458153	1000	1	NA
"7693"	NA	NA	NA	683.5	2	118.086832458153
"7713"	NA	NA	NA	1567	1	NA
"7732"	977.666666666667	3	587.363884941297	1450	2	353.553390593274
"7751"	583	2	494.974746830583	933.5	2	613.061579288737
"7771"	1333	1	NA	600	2	424.264068711929
"8081"	NA	NA	NA	1000	1	NA
