Sub.Num,Gender,CDIAge,VOCAB,ANIMALS,SOUND,experiment
23444,F,32,655,42,11,e2
5175,M,30,534,28,12,e2
5278,M,31,288,16,9,e2
6478,M,31,593,43,12,e2
6685,M,30,506,32,10,e2
6763,F,31,349,31,10,e2
6800,F,31,290,34,10,e2
6816,M,31,581,29,10,e2
6829,M,32,269,21,7,e2
6851,F,30,547,31,12,e2
6854,F,31,548,36,10,e2
6858,M,31,551,37,12,e2
6893,F,30,532,43,10,e2
6896,F,30,376,28,8,e2
6905,M,31,601,37,12,e2
6915,F,32,663,42,12,e2
6921,F,32,654,43,12,e2
6947,M,30,450,41,11,e2
6975,F,30,476,31,11,e2
7001,M,30,404,34,10,e2
7040,M,31,643,39,12,e2
7077,M,31,653,37,12,e2
7804,F,30,575,41,11,e2
6612,M,34,503,42,12,e1
7409,F,31,433,31,2,e1
7421,M,31,205,23,10,e1
7435,F,32,628,39,10,e1
7462,F,32,329,33,12,e1
7471,F,32,611,43,12,e1
7505,F,32,667,43,12,e1
7508,M,31,539,38,8,e1
7549,M,31,327,32,11,e1
7573,F,32,0,0,0,e1
7669,M,31,431,41,12,e1
7670,M,31,562,36,8,e1
7693,M,30,416,25,10,e1
7713,M,31,568,38,12,e1
7732,F,30,482,26,11,e1
7751,F,31,590,41,12,e1
7771,F,31,533,33,11,e1
7816,M,30,572,35,11,e1
8081,F,32,576,37,11,e1
