Time.ms,cue_type,trial_type,value_cat,experiment,m_prop_looking
0,name,disambiguation,Distractor,e1,0.40476190476190477
0,name,disambiguation,Target,e1,0.5952380952380952
0,name,familiar,Distractor,e1,0.5611510791366906
0,name,familiar,Target,e1,0.43884892086330934
0,onomatopoeic,familiar,Distractor,e1,0.4745762711864407
0,onomatopoeic,familiar,Target,e1,0.5254237288135594
0,vocalization,disambiguation,Distractor,e1,0.48672566371681414
0,vocalization,disambiguation,Distractor,e2,0.44166666666666665
0,vocalization,disambiguation,Target,e1,0.5132743362831859
0,vocalization,disambiguation,Target,e2,0.5583333333333333
0,vocalization,familiar,Distractor,e1,0.4956140350877193
0,vocalization,familiar,Distractor,e2,0.4915254237288136
0,vocalization,familiar,Target,e1,0.5043859649122807
0,vocalization,familiar,Target,e2,0.5084745762711864
0,vocalization,retention,Distractor,e2,0.5789473684210527
0,vocalization,retention,Target,e2,0.42105263157894735
33,name,disambiguation,Distractor,e1,0.4069767441860465
33,name,disambiguation,Target,e1,0.5930232558139535
33,name,familiar,Distractor,e1,0.5507246376811594
33,name,familiar,Target,e1,0.4492753623188406
33,onomatopoeic,familiar,Distractor,e1,0.47863247863247865
33,onomatopoeic,familiar,Target,e1,0.5213675213675214
33,vocalization,disambiguation,Distractor,e1,0.4864864864864865
33,vocalization,disambiguation,Distractor,e2,0.45454545454545453
33,vocalization,disambiguation,Target,e1,0.5135135135135135
33,vocalization,disambiguation,Target,e2,0.5454545454545454
33,vocalization,familiar,Distractor,e1,0.4890829694323144
33,vocalization,familiar,Distractor,e2,0.49783549783549785
33,vocalization,familiar,Target,e1,0.5109170305676856
33,vocalization,familiar,Target,e2,0.5021645021645021
33,vocalization,retention,Distractor,e2,0.5789473684210527
33,vocalization,retention,Target,e2,0.42105263157894735
67,name,disambiguation,Distractor,e1,0.40229885057471265
67,name,disambiguation,Target,e1,0.5977011494252874
67,name,familiar,Distractor,e1,0.5507246376811594
67,name,familiar,Target,e1,0.4492753623188406
67,onomatopoeic,familiar,Distractor,e1,0.49572649572649574
67,onomatopoeic,familiar,Target,e1,0.5042735042735043
67,vocalization,disambiguation,Distractor,e1,0.46788990825688076
67,vocalization,disambiguation,Distractor,e2,0.453125
67,vocalization,disambiguation,Target,e1,0.5321100917431193
67,vocalization,disambiguation,Target,e2,0.546875
67,vocalization,familiar,Distractor,e1,0.4845814977973568
67,vocalization,familiar,Distractor,e2,0.5
67,vocalization,familiar,Target,e1,0.5154185022026432
67,vocalization,familiar,Target,e2,0.5
67,vocalization,retention,Distractor,e2,0.581081081081081
67,vocalization,retention,Target,e2,0.4189189189189189
100,name,disambiguation,Distractor,e1,0.3953488372093023
100,name,disambiguation,Target,e1,0.6046511627906976
100,name,familiar,Distractor,e1,0.5401459854014599
100,name,familiar,Target,e1,0.45985401459854014
100,onomatopoeic,familiar,Distractor,e1,0.48739495798319327
100,onomatopoeic,familiar,Target,e1,0.5126050420168067
100,vocalization,disambiguation,Distractor,e1,0.4722222222222222
100,vocalization,disambiguation,Distractor,e2,0.44274809160305345
100,vocalization,disambiguation,Target,e1,0.5277777777777778
100,vocalization,disambiguation,Target,e2,0.5572519083969466
100,vocalization,familiar,Distractor,e1,0.48672566371681414
100,vocalization,familiar,Distractor,e2,0.48523206751054854
100,vocalization,familiar,Target,e1,0.5132743362831859
100,vocalization,familiar,Target,e2,0.5147679324894515
100,vocalization,retention,Distractor,e2,0.5866666666666667
100,vocalization,retention,Target,e2,0.41333333333333333
133,name,disambiguation,Distractor,e1,0.38202247191011235
133,name,disambiguation,Target,e1,0.6179775280898876
133,name,familiar,Distractor,e1,0.5362318840579711
133,name,familiar,Target,e1,0.463768115942029
133,onomatopoeic,familiar,Distractor,e1,0.4915254237288136
133,onomatopoeic,familiar,Target,e1,0.5084745762711864
133,vocalization,disambiguation,Distractor,e1,0.4732142857142857
133,vocalization,disambiguation,Distractor,e2,0.453125
133,vocalization,disambiguation,Target,e1,0.5267857142857143
133,vocalization,disambiguation,Target,e2,0.546875
133,vocalization,familiar,Distractor,e1,0.4888888888888889
133,vocalization,familiar,Distractor,e2,0.4918032786885246
133,vocalization,familiar,Target,e1,0.5111111111111111
133,vocalization,familiar,Target,e2,0.5081967213114754
133,vocalization,retention,Distractor,e2,0.5866666666666667
133,vocalization,retention,Target,e2,0.41333333333333333
167,name,disambiguation,Distractor,e1,0.37777777777777777
167,name,disambiguation,Target,e1,0.6222222222222222
167,name,familiar,Distractor,e1,0.5352112676056338
167,name,familiar,Target,e1,0.4647887323943662
167,onomatopoeic,familiar,Distractor,e1,0.5
167,onomatopoeic,familiar,Target,e1,0.5
167,vocalization,disambiguation,Distractor,e1,0.45132743362831856
