Sub.Num,value_cat,cue_type,trial_type,experiment,ss_prop_looking,Gender,CDIAge,VOCAB,ANIMALS,SOUND
23444,Distractor,vocalization,disambiguation,experiment_2_retention,0.3642431972789115,F,32,655,42,11
23444,Distractor,vocalization,familiar,experiment_2_retention,0.4024215367965368,F,32,655,42,11
23444,Distractor,vocalization,retention,experiment_2_retention,0.4211309523809524,F,32,655,42,11
23444,Target,vocalization,disambiguation,experiment_2_retention,0.6357568027210884,F,32,655,42,11
23444,Target,vocalization,familiar,experiment_2_retention,0.5975784632034632,F,32,655,42,11
23444,Target,vocalization,retention,experiment_2_retention,0.5788690476190476,F,32,655,42,11
5278,Distractor,vocalization,disambiguation,experiment_2_retention,0.17649872448979592,M,31,288,16,9
5278,Distractor,vocalization,familiar,experiment_2_retention,0.46728725143903715,M,31,288,16,9
5278,Distractor,vocalization,retention,experiment_2_retention,0.5796130952380952,M,31,288,16,9
5278,Target,vocalization,disambiguation,experiment_2_retention,0.8235012755102041,M,31,288,16,9
5278,Target,vocalization,familiar,experiment_2_retention,0.5327127485609628,M,31,288,16,9
5278,Target,vocalization,retention,experiment_2_retention,0.42038690476190477,M,31,288,16,9
6478,Distractor,vocalization,disambiguation,experiment_2_retention,0.35119047619047616,M,31,593,43,12
6478,Distractor,vocalization,familiar,experiment_2_retention,0.26792091836734694,M,31,593,43,12
6478,Distractor,vocalization,retention,experiment_2_retention,0.6576576576576577,M,31,593,43,12
6478,Target,vocalization,disambiguation,experiment_2_retention,0.6488095238095238,M,31,593,43,12
6478,Target,vocalization,familiar,experiment_2_retention,0.7320790816326531,M,31,593,43,12
6478,Target,vocalization,retention,experiment_2_retention,0.34234234234234234,M,31,593,43,12
6612,Distractor,name,disambiguation,experiment_1,0.7944444444444444,M,34,503,42,12
6612,Distractor,name,familiar,experiment_1,0.6900510204081632,M,34,503,42,12
6612,Distractor,onomatopoeic,familiar,experiment_1,0.7624255952380953,M,34,503,42,12
6612,Distractor,vocalization,disambiguation,experiment_1,0.32767857142857143,M,34,503,42,12
6612,Distractor,vocalization,familiar,experiment_1,0.3407657570603999,M,34,503,42,12
6612,Target,name,disambiguation,experiment_1,0.20555555555555555,M,34,503,42,12
6612,Target,name,familiar,experiment_1,0.3099489795918367,M,34,503,42,12
