Sub.Num,Tr.Num,cue_type,trial_type,experiment,m_prop_looking,RT,Response,Gender,CDIAge,VOCAB,ANIMALS,SOUND
23444,11,vocalization,disambiguation,experiment_2_retention,0.6102941176470589,1400,T,F,32,655,42,11
23444,12,vocalization,familiar,experiment_2_retention,0.3161764705882353,1100,D,F,32,655,42,11
23444,13,vocalization,disambiguation,experiment_2_retention,0.5547945205479452,2700,T,F,32,655,42,11
23444,14,vocalization,familiar,experiment_2_retention,0.5212765957446809,1233,A,F,32,655,42,11
23444,15,vocalization,disambiguation,experiment_2_retention,0.18181818181818182,767,D,F,32,655,42,11
23444,16,vocalization,familiar,experiment_2_retention,0.851063829787234,700,D,F,32,655,42,11
23444,17,vocalization,disambiguation,experiment_2_retention,0.2222222222222222,933,A,F,32,655,42,11
23444,18,vocalization,familiar,experiment_2_retention,0.46808510638297873,2e3,A,F,32,655,42,11
23444,2,vocalization,familiar,experiment_2_retention,0.4375,200,T,F,32,655,42,11
23444,21,vocalization,familiar,experiment_2_retention,0.8642857142857143,633,D,F,32,655,42,11
23444,22,vocalization,familiar,experiment_2_retention,0.25735294117647056,2100,D,F,32,655,42,11
23444,23,vocalization,retention,experiment_2_retention,0.7241379310344828,3500,T,F,32,655,42,11
23444,24,vocalization,familiar,experiment_2_retention,1,NA,T,F,32,655,42,11
23444,25,vocalization,retention,experiment_2_retention,0,NA,D,F,32,655,42,11
23444,29,vocalization,familiar,experiment_2_retention,0.8091603053435115,267,D,F,32,655,42,11
23444,3,vocalization,familiar,experiment_2_retention,0.5923076923076923,700,A,F,32,655,42,11
23444,34,vocalization,retention,experiment_2_retention,0.8455882352941176,700,D,F,32,655,42,11
23444,4,vocalization,familiar,experiment_2_retention,0.3488372093023256,1500,T,F,32,655,42,11
23444,5,vocalization,disambiguation,experiment_2_retention,0.8686131386861314,3967,T,F,32,655,42,11
23444,6,vocalization,familiar,experiment_2_retention,0.4642857142857143,367,T,F,32,655,42,11
23444,7,vocalization,disambiguation,experiment_2_retention,0.7557251908396947,133,T,F,32,655,42,11
23444,8,vocalization,familiar,experiment_2_retention,0.36283185840707965,1267,A,F,32,655,42,11
23444,9,vocalization,disambiguation,experiment_2_retention,1,NA,T,F,32,655,42,11
5278,11,vocalization,disambiguation,experiment_2_retention,0.6165413533834586,967,A,M,31,288,16,9
5278,12,vocalization,familiar,experiment_2_retention,0.08974358974358974,1167,A,M,31,288,16,9
