ParticipantId,Gender,CDIAge,CDIDate,M3L,CMPLXPER,COMPLEX,M3LPER,VOCAB,VOCPER,ANIMALS,SOUND
23444,F,32,9/7/10,8.7,18,10,Null,655,91,42,11
5175,M,30,7/28/10,4.3,10,0,Null,534,54,28,12
5278,M,31,10/15/10,3.5,Null,2,Null,288,Null,16,9
5278,M,31,10/15/10,4.3,18,2,Null,290,17,16,9
6478,M,31,9/24/10,6.3,37,18,Null,593,76,43,12
6685,M,30,7/31/10,11,99,37,Null,506,48,32,10
6763,F,31,8/6/10,1,18,10,Null,349,16,31,10
6800,F,31,8/24/10,5.3,22,16,Null,290,10,34,10
6816,M,31,8/17/10,1,70,34,Null,581,72,29,10
6829,M,32,9/8/10,5.5,32,14,Null,269,15,21,7
6851,F,30,8/12/10,4.7,30,28,Null,547,42,31,12
6854,F,31,9/25/10,8.7,55,35,Null,548,42,36,10
6858,M,31,9/24/10,17.7,70,34,Null,551,58,37,12
6893,F,30,8/23/10,8.3,34,30,Null,532,39,43,10
6896,F,30,7/29/10,5.3,25,22,Null,376,19,28,8
6905,M,31,10/5/10,6,49,28,Null,601,77,37,12
6915,F,32,10/2/10,14.7,99,37,Null,663,93,42,12
6921,F,32,10/13/10,7.3,65,36,Null,654,90,43,12
6947,M,30,10/6/10,9.7,50,29,Null,450,37,41,11
6975,F,30,9/27/10,3.3,22,16,Null,476,29,31,11
7001,M,30,7/27/10,4.3,29,10,Null,404,30,34,10
7040,M,31,12/1/10,13,90,36,Null,643,90,39,12
7077,M,31,12/8/10,5.3,50,29,Null,653,93,37,12
7804,F,30,1/16/11,8.7,32,29,Null,575,49,41,11
