ParticipantId,Gender,CDIAge,CDIDate,M3L,CMPLXPER,COMPLEX,M3LPER,VOCAB,VOCPER,ANIMALS,SOUND
6612,M,34,9/2/11,10,45,26,Null,503,48,42,12
7409,F,31,6/24/11,1,16,8,Null,433,24,31,2
7421,M,31,7/17/11,3,18,2,Null,205,10,23,10
7435,F,32,7/7/11,6.3,30,28,Null,628,73,39,10
7462,F,32,7/25/11,3,11,3,Null,329,14,33,12
7471,F,32,8/3/11,1,99,37,Null,611,64,43,12
7505,F,32,8/3/11,8.3,35,31,Null,667,95,43,12
7508,M,31,6/27/11,7.7,55,30,Null,539,55,38,8
7549,M,31,8/30/11,3,25,5,Null,327,21,32,11
7573,F,32,8/26/11,9.3,5,0,Null,0,0,0,0
7669,M,31,8/30/11,7.7,38,19,Null,431,34,41,12
7670,M,31,8/27/11,6,34,15,Null,562,64,36,8
7693,M,30,9/26/11,5,30,13,Null,416,32,25,10
7713,M,31,10/4/11,1,99,37,Null,568,67,38,12
7732,F,30,9/16/11,5,23,18,Null,482,30,26,11
7751,F,31,10/11/11,10,24,20,Null,590,54,41,12
7771,F,31,10/12/11,1,35,31,Null,533,39,33,11
7816,M,30,9/18/11,8.7,70,34,Null,572,69,35,11
8081,F,32,8/1/11,5,35,31,Null,576,49,37,11
