Time.ms,cue_type,trial_type,experiment,mean,summary_ci_lower,summary_ci_upper
0,name,disambiguation,experiment_1,0,0,0
0,name,familiar,experiment_1,0,0,0
0,onomatopoeic,familiar,experiment_1,0,0,0
0,vocalization,disambiguation,experiment_1,0,0,0
0,vocalization,disambiguation,experiment_2_retention,0,0,0
0,vocalization,familiar,experiment_1,0,0,0
0,vocalization,familiar,experiment_2_retention,0,0,0
0,vocalization,retention,experiment_2_retention,0,0,0
33,name,disambiguation,experiment_1,0,0,0
33,name,familiar,experiment_1,0,0,0
33,onomatopoeic,familiar,experiment_1,0,0,0
33,vocalization,disambiguation,experiment_1,0,0,0
33,vocalization,disambiguation,experiment_2_retention,0,0,0
33,vocalization,familiar,experiment_1,0,0,0
33,vocalization,familiar,experiment_2_retention,0,0,0
33,vocalization,retention,experiment_2_retention,0,0,0
67,name,disambiguation,experiment_1,0,0,0
67,name,familiar,experiment_1,0,0,0
67,onomatopoeic,familiar,experiment_1,0,0,0
67,vocalization,disambiguation,experiment_1,0,0,0
67,vocalization,disambiguation,experiment_2_retention,0,0,0
67,vocalization,familiar,experiment_1,0,0,0
67,vocalization,familiar,experiment_2_retention,0,0,0
67,vocalization,retention,experiment_2_retention,0,0,0
100,name,disambiguation,experiment_1,0,0,0
100,name,familiar,experiment_1,0,0,0
100,onomatopoeic,familiar,experiment_1,0,0,0
100,vocalization,disambiguation,experiment_1,0,0,0
100,vocalization,disambiguation,experiment_2_retention,0,0,0
100,vocalization,familiar,experiment_1,0,0,0
100,vocalization,familiar,experiment_2_retention,0.006211180124223602,0,0.018633540372670808
100,vocalization,retention,experiment_2_retention,0,0,0
133,name,disambiguation,experiment_1,0,0,0
133,name,familiar,experiment_1,0.013888888888888888,0,0.041666666666666664
133,onomatopoeic,familiar,experiment_1,0,0,0
133,vocalization,disambiguation,experiment_1,0.011111111111111112,0,0.03333333333333333
133,vocalization,disambiguation,experiment_2_retention,0,0,0
133,vocalization,familiar,experiment_1,0,0,0
133,vocalization,familiar,experiment_2_retention,0.006211180124223602,0,0.018633540372670808
133,vocalization,retention,experiment_2_retention,0.025,0,0.075
167,name,disambiguation,experiment_1,0,0,0
167,name,familiar,experiment_1,0.04351851851851852,0.011111111111111112,0.09268518518518509
167,onomatopoeic,familiar,experiment_1,0,0,0
167,vocalization,disambiguation,experiment_1,0.04814814814814815,0,0.09824074074074066
167,vocalization,disambiguation,experiment_2_retention,0.023809523809523808,0,0.07142857142857142
167,vocalization,familiar,experiment_1,0.017543859649122806,0,0.043859649122807015
167,vocalization,familiar,experiment_2_retention,0.017080745341614908,0,0.04274068322981363
167,vocalization,retention,experiment_2_retention,0.05,0,0.11312499999999943
200,name,disambiguation,experiment_1,0.06666666666666667,0,0.2
200,name,familiar,experiment_1,0.04351851851851852,0,0.09263888888888884
200,onomatopoeic,familiar,experiment_1,0,0,0
200,vocalization,disambiguation,experiment_1,0.04814814814814815,0,0.1037037037037037
200,vocalization,disambiguation,experiment_2_retention,0.023809523809523808,0,0.07142857142857142
200,vocalization,familiar,experiment_1,0.017543859649122806,0,0.043859649122807015
200,vocalization,familiar,experiment_2_retention,0.046842650103519665,0.016304347826086956,0.08100414078674949
200,vocalization,retention,experiment_2_retention,0.075,0,0.15
233,name,disambiguation,experiment_1,0.125,0,0.3125
233,name,familiar,experiment_1,0.06496913580246913,0.018518518518518517,0.12139274691358024
233,onomatopoeic,familiar,experiment_1,0,0,0
233,vocalization,disambiguation,experiment_1,0.07592592592592592,0.011111111111111112,0.15
233,vocalization,disambiguation,experiment_2_retention,0.023809523809523808,0,0.07142857142857142
233,vocalization,familiar,experiment_1,0.043859649122807015,0.008771929824561403,0.09649122807017543
233,vocalization,familiar,experiment_2_retention,0.048291925465838506,0.017449534161490685,0.08580357142857142
233,vocalization,retention,experiment_2_retention,0.075,0,0.15
267,name,disambiguation,experiment_1,0.125,0,0.3125
267,name,familiar,experiment_1,0.06596119929453263,0.014109347442680775,0.1298236331569665
267,onomatopoeic,familiar,experiment_1,0.017543859649122806,0,0.05263157894736842
267,vocalization,disambiguation,experiment_1,0.08981481481481482,0.025,0.1638888888888889
267,vocalization,disambiguation,experiment_2_retention,0.023809523809523808,0,0.07142857142857142
267,vocalization,familiar,experiment_1,0.06140350877192982,0.02631578947368421,0.10526315789473684
267,vocalization,familiar,experiment_2_retention,0.0656832298136646,0.02925854037267081,0.10287655279503105
267,vocalization,retention,experiment_2_retention,0.075,0,0.15
300,name,disambiguation,experiment_1,0.13541666666666666,0,0.3229166666666667
300,name,familiar,experiment_1,0.09451058201058202,0.029386574074074075,0.16547619047619042
300,onomatopoeic,familiar,experiment_1,0.02631578947368421,0,0.07894736842105263
300,vocalization,disambiguation,experiment_1,0.11296296296296296,0.03976851851851852,0.20462962962962963
300,vocalization,disambiguation,experiment_2_retention,0.023809523809523808,0,0.07142857142857142
300,vocalization,familiar,experiment_1,0.08070175438596491,0.043859649122807015,0.12899122807017538
300,vocalization,familiar,experiment_2_retention,0.10046583850931677,0.05519798136645963,0.1471519151138716
300,vocalization,retention,experiment_2_retention,0.075,0,0.175
333,name,disambiguation,experiment_1,0.13541666666666666,0,0.3125
333,name,familiar,experiment_1,0.11582633053221289,0.0546218487394958,0.20183473389355744
333,onomatopoeic,familiar,experiment_1,0.05263157894736842,0,0.13157894736842105
333,vocalization,disambiguation,experiment_1,0.11296296296296296,0.041666666666666664,0.20004629629629628
333,vocalization,disambiguation,experiment_2_retention,0.03508771929824561,0,0.10526315789473684
333,vocalization,familiar,experiment_1,0.08696741854636592,0.04346491228070175,0.13484962406015036
333,vocalization,familiar,experiment_2_retention,0.10469289164941338,0.06124741200828157,0.1482945134575569
333,vocalization,retention,experiment_2_retention,0.15,0.05,0.3
367,name,disambiguation,experiment_1,0.16666666666666666,0.020833333333333332,0.34375
367,name,familiar,experiment_1,0.12976190476190477,0.052578125,0.2128348214285714
367,onomatopoeic,familiar,experiment_1,0.05263157894736842,0,0.13157894736842105
367,vocalization,disambiguation,experiment_1,0.13148148148148148,0.051805555555555556,0.21627314814814808
367,vocalization,disambiguation,experiment_2_retention,0.03508771929824561,0,0.10526315789473684
367,vocalization,familiar,experiment_1,0.08872180451127819,0.043859649122807015,0.13835839598997493
367,vocalization,familiar,experiment_2_retention,0.10590062111801242,0.061169772256728774,0.15246118012422358
367,vocalization,retention,experiment_2_retention,0.15,0.05,0.275
400,name,disambiguation,experiment_1,0.19791666666666666,0.05703125000000001,0.3541666666666667
400,name,familiar,experiment_1,0.16889880952380953,0.085390625,0.24987351190476187
400,onomatopoeic,familiar,experiment_1,0.0787037037037037,0,0.17835648148148137
400,vocalization,disambiguation,experiment_1,0.12685185185185185,0.05555555555555555,0.21296296296296297
400,vocalization,disambiguation,experiment_2_retention,0.09999999999999999,0.00791666666666669,0.23333333333333334
400,vocalization,familiar,experiment_1,0.09047619047619047,0.04035087719298246,0.14223684210526313
400,vocalization,familiar,experiment_2_retention,0.12474120082815734,0.07450828157349897,0.18115942028985507
400,vocalization,retention,experiment_2_retention,0.19166666666666665,0.075,0.325
433,name,disambiguation,experiment_1,0.2,0.04375,0.375
433,name,familiar,experiment_1,0.20572916666666666,0.111875,0.30471354166666664
433,onomatopoeic,familiar,experiment_1,0.10648148148148148,0.027777777777777776,0.20833333333333331
433,vocalization,disambiguation,experiment_1,0.12685185185185185,0.05409722222222223,0.20555555555555555
433,vocalization,disambiguation,experiment_2_retention,0.125,0.025,0.2627083333333331
